Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-04-07 16:39 (PST),On Demand,Leanne Hainsby,20,Cycling,Beginner,20 min Beginner Ride,2020-03-18 07:21 (PST),143,119,41%,79,16.92,5.63,205,,,
2020-04-08 09:09 (PST),On Demand,,20,Cycling,Scenic Ride,20 min Timmelsjoch Scenic Ride,,202,169,49%,74,19.51,6.50,290,,,
2020-04-09 08:52 (PST),On Demand,Ben Alldis,20,Cycling,Beginner,20 min Beginner Ride,2020-03-14 03:26 (PST),191,159,44%,81,18.81,6.26,274,,,
2020-04-10 09:23 (PST),On Demand,,20,Cycling,Scenic Ride,20 min Taiwanese Parks Scenic Ride,,202,168,47%,80,19.34,6.44,289,,,
2020-04-13 09:27 (PST),On Demand,Leanne Hainsby,30,Cycling,Intervals,30 min HIIT Ride,2020-04-05 06:00 (PST),276,153,47%,76,18.72,9.36,395,,,
2020-04-17 09:33 (PST),On Demand,Cody Rigsby,20,Cycling,Music,20 min 90s Pop Ride,2020-04-16 03:00 (PST),166,138,44%,79,17.86,5.95,237,,,
2020-04-20 11:17 (PST),Live,Leanne Hainsby,30,Cycling,Music,30 min 2010s Ride,2020-02-27 22:49 (PST),0,2,29%,12,1.02,0.03,0,,,
2020-04-20 11:19 (PST),On Demand,Emma Lovewell,30,Cycling,Music,30 min Classic Rock Ride,2020-04-13 11:00 (PST),303,169,50%,75,19.65,9.82,435,,,
2020-04-22 09:43 (PST),On Demand,Denis Morton,30,Cycling,Music,30 min Rock Ride,2020-04-20 14:00 (PST),305,169,45%,84,19.49,9.74,437,,,
2020-04-23 15:18 (PST),On Demand,,15,Cycling,Scenic Ride,15 min Golden Gate Park Scenic Ride,,165,183,46%,85,20.30,5.07,236,,,
2020-04-24 08:38 (PST),On Demand,Kendall Toole,20,Cycling,Music,20 min 2000s Ride,2020-04-17 03:30 (PST),90,169,48%,79,19.75,2.92,129,,,
2020-04-27 09:54 (PST),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min HIIT Ride: Live from Home,2020-04-24 06:57 (PST),276,154,41%,89,18.52,9.25,396,,,
2020-04-27 10:25 (PST),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-21 12:41 (PST),,,,,,,6,,,
2020-05-01 09:03 (PST),On Demand,Kendall Toole,30,Cycling,Intervals,30 min HIIT Ride,2020-04-27 12:30 (PST),267,148,44%,81,18.53,9.26,382,,,
2020-05-02 15:30 (PST),On Demand,,10,Cycling,Scenic Ride,10 min Reims Scenic Ride,,122,204,47%,91,21.17,3.52,175,,,
2020-05-05 09:15 (PST),On Demand,Leanne Hainsby,30,Cycling,Intervals,30 min HIIT Ride: Live from Home,2020-05-02 04:55 (PST),248,138,45%,78,18.29,9.14,356,,,
2020-05-07 17:13 (PST),On Demand,Olivia Amato,30,Cycling,Music,30 min Rock Ride,2020-05-07 11:00 (PST),287,160,45%,83,19.31,9.64,412,,,
2020-05-08 09:17 (PST),On Demand,Ben Alldis,30,Cycling,Music,30 min 80s Ride: Live from Home,2020-05-04 06:25 (PST),307,171,46%,84,19.69,9.84,440,,,
2020-05-11 09:24 (PST),On Demand,Robin Arzon,30,Cycling,Music,30 min Lizzo Ride,2019-08-02 10:20 (PST),269,149,45%,82,18.84,9.41,385,,,
2020-05-12 16:03 (PST),On Demand,Ben Alldis,30,Cycling,Climb,30 min Climb Ride: Live from Home,2020-05-11 05:55 (PST),313,181,52%,74,20.35,9.99,449,,,
2020-05-13 09:24 (PST),On Demand,Leanne Hainsby,30,Cycling,Intervals,30 min Intervals & Arms: Live from Home,2020-05-07 06:24 (PST),284,158,48%,75,19.06,9.52,407,,,
2020-05-15 17:23 (PST),On Demand,Ally Love,30,Cycling,Music,30 min Pop Ride: Live from Home,2020-05-08 13:52 (PST),330,183,49%,82,20.42,10.20,473,,,
2020-06-09 14:20 (PST),On Demand,Leanne Hainsby,30,Cycling,Intervals,30 min HIIT Ride: Live from Home,2020-05-14 05:56 (PST),331,184,50%,77,20.20,10.09,474,,,
2020-06-11 11:32 (PST),On Demand,Ben Alldis,30,Cycling,Music,30 min Rock Ride: Live from Home,2020-05-18 05:55 (PST),343,191,49%,82,20.42,10.20,492,,,
2020-06-16 09:11 (PST),On Demand,Ben Alldis,30,Cycling,Climb,30 min Climb Ride,2020-06-16 07:00 (PST),293,163,50%,74,19.52,9.76,419,,,
2020-06-26 10:35 (PST),On Demand,,10,Cycling,Scenic Ride,10 min New Zealand Scenic Ride,,12,35,41%,40,9.87,0.94,17,,,
2020-07-13 12:24 (PST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min HIIT Ride,2020-07-13 07:00 (PST),215,180,46%,84,19.99,6.66,309,,,
2020-07-14 11:04 (PST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-06-20 01:00 (PST),211,176,47%,80,19.70,6.57,302,,,
2020-07-15 10:34 (PST),On Demand,Sam Yo,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-07-15 01:25 (PST),,,,,,,69,,,
2020-07-15 10:47 (PST),On Demand,Ally Love,20,Cycling,Music,20 min 80s Pop Ride,2020-07-07 05:37 (PST),219,183,52%,74,20.32,6.76,313,,,
2020-07-24 07:52 (PST),On Demand,Ben Alldis,30,Cycling,Intervals,30 min Tabata Ride,2020-06-30 07:00 (PST),0,0,27%,0,0,0,0,,,
2020-07-24 11:57 (PST),On Demand,Cody Rigsby,20,Cycling,Music,20 min 90s Ride,2020-06-24 14:00 (PST),205,171,46%,85,19.76,6.58,294,,,
2020-07-29 10:55 (PST),On Demand,Ben Alldis,20,Cycling,Climb,20 min Climb Ride,2020-07-27 23:20 (PST),215,179,51%,75,20.30,6.76,307,,,
2020-07-29 11:21 (PST),On Demand,Ben Alldis,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-05-26 07:30 (PST),,,,,,,69,,,
2020-07-31 12:26 (PST),On Demand,Leanne Hainsby,20,Cycling,Music,20 min 90s Ride,2020-07-29 04:22 (PST),216,180,46%,87,20.27,6.75,310,,,
2020-08-03 11:53 (PST),On Demand,Sam Yo,20,Cycling,Intervals,20 min HIIT Ride,2020-07-15 01:00 (PST),227,189,45%,88,20.07,6.68,325,,,
2020-08-04 13:34 (PST),On Demand,Ben Alldis,20,Cycling,Music,20 min Rock Ride,2020-08-03 23:51 (PST),231,193,47%,87,20.74,6.91,331,,,
2020-08-06 15:17 (PST),On Demand,Leanne Hainsby,20,Cycling,Music,20 min Disco Ride,2020-08-02 23:55 (PST),231,193,48%,86,20.61,6.86,332,,,
2020-08-08 15:25 (PST),On Demand,Robin Arzon,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2020-08-08 07:00 (PST),,,,,,,69,,,
2020-08-10 11:47 (PST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-08-02 23:30 (PST),225,188,48%,82,20.13,6.71,323,,,
2020-08-12 09:03 (PST),On Demand,Cody Rigsby,20,Cycling,Groove,20 min Groove Ride,2020-08-06 15:36 (PST),224,187,49%,81,20.41,6.80,321,,,
2020-08-13 12:35 (PST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min HIIT Ride,2020-08-09 08:00 (PST),223,186,49%,80,20.01,6.67,319,,,
2020-08-20 12:09 (PST),On Demand,Ben Alldis,20,Cycling,Climb,20 min Climb Ride,2020-08-17 23:51 (PST),212,177,50%,78,20.17,6.72,304,,,
2020-08-21 14:29 (PST),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-08-20 14:48 (PST),343,191,53%,74,20.74,10.36,491,,,
